name,taxonomy,imageURL,details,temprange,details,phRange,tank size,fish size (cm/inches),fish compatibility,detailsUrl
Brown-Point Shield Skin,Aspidoras fuscoguttatus,https://upload.wikimedia.org//wikipedia/commons/7/72/Aspidoras_fuscoguttatus.jpg,"The Brown-Point Shield Skin (scientifically known as Aspidoras fuscoguttatus) is a small, armored freshwater catfish native to the Upper Paraná River basin in Brazil. Its name is a direct translation of its biology: the ""shield skin"" refers to the two rows of overlapping bony plates (scutes) that protect its body in place of traditional scales, while ""brown-point"" describes the distinct dark, dusky spots peppered across its pale flank. These peaceful bottom-dwellers rarely exceed 4 cm in length and are highly social, making them a unique, hardy alternative to the more common Corydoras for hobbyists maintaining tropical community aquariums.",22 - 25 degrees Celsius,"The Brown-Point Shield Skin (scientifically known as Aspidoras fuscoguttatus) is a small, armored freshwater catfish native to the Upper Paran? River basin in Brazil. Its name is a direct translation of its biology: the ""shield skin"" refers to the two rows of overlapping bony plates (scutes) that protect its body in place of traditional scales, while ""brown-point"" describes the distinct dark, dusky spots peppered across its pale flank. These peaceful bottom-dwellers rarely exceed 4 cm in length and are highly social, making them a unique, hardy alternative to the more common Corydoras for hobbyists maintaining tropical community aquariums.","5.5-6.8
",20 – 30 gallons,"3.0-3.8 cm / 1.2-1.5""",Compatible with medium-sized Characins and Angelfish; they are peaceful but can be shy.,
Aspidoras Cory-Cat,Aspidoras lakoi,,"The Aspidoras Cory-Cat is a diminutive, hardy ""armored"" catfish that thrives in a minimum of 20 gallons to accommodate their highly social, schooling nature. They are most comfortable when kept in groups of six or more alongside peaceful, mid-to-top-dwelling compatible fish like Neon Tetras, Rasboras, and Dwarf Gouramis, as their small size makes them vulnerable to larger, aggressive tank mates. Essential care includes providing a soft sand substrate to protect their delicate barbels, maintaining well-oxygenated water with a temperature between 22–25°C, and offering a varied diet of sinking pellets and live or frozen foods (like bloodworms) to support their active bottom-scavenging behavior.",22 - 25 degrees Celsius,"The Aspidoras Cory-Cat is a diminutive, hardy ""armored"" catfish that thrives in a minimum of 20 gallons to accommodate their highly social, schooling nature. They are most comfortable when kept in groups of six or more alongside peaceful, mid-to-top-dwelling compatible fish like Neon Tetras, Rasboras, and Dwarf Gouramis, as their small size makes them vulnerable to larger, aggressive tank mates. Essential care includes providing a soft sand substrate to protect their delicate barbels, maintaining well-oxygenated water with a temperature between 22?25?C, and offering a varied diet of sinking pellets and live or frozen foods (like bloodworms) to support their active bottom-scavenging behavior.",5.5 – 6.8,15 – 20 gallons,"3.0-3.8 cm / 1.2-1.5""",Compatible with Silver Dollars or larger Tetras; provide plenty of leaf litter for hiding.,
Loach catfish,Aspidoras rochai,,"The Loach Catfish (often referring to the genus Aspidoras) is a slender, ""shield-skinned"" bottom-dweller that combines the elongated body of a loach with the armored protection of a catfish. For proper care, they require a minimum of 20 gallons to accommodate their active, schooling behavior, as they are most comfortable in groups of six or more where they can safely forage. Compatible fish include other peaceful community species like Tetras, Hatchetfish, and Rasboras, but they should never be housed with aggressive cichlids that might outcompete them for food. Key remarks for their maintenance include providing a soft sand substrate to prevent damage to their sensitive barbels and ensuring high oxygen levels in the water, as these fish naturally inhabit fast-flowing, shallow streams.",21 - 25 degrees Celsius,"The Loach Catfish (often referring to the genus Aspidoras) is a slender, ""shield-skinned"" bottom-dweller that combines the elongated body of a loach with the armored protection of a catfish. For proper care, they require a minimum of 20 gallons to accommodate their active, schooling behavior, as they are most comfortable in groups of six or more where they can safely forage. Compatible fish include other peaceful community species like Tetras, Hatchetfish, and Rasboras, but they should never be housed with aggressive cichlids that might outcompete them for food. Key remarks for their maintenance include providing a soft sand substrate to prevent damage to their sensitive barbels and ensuring high oxygen levels in the water, as these fish naturally inhabit fast-flowing, shallow streams.","6.0-7.5
",30 – 40 gallons,"3.0-4.5 cm / 1.2-1.8""",Compatible with most community fish; ensure the tank has a tight lid as they are known jumpers.,
"Sixray corydoras, false corydoras",Aspidoras pauciradiatus,https://upload.wikimedia.org//wikipedia/en/1/1a/False_cory_1.jpg,"The Sixray Corydoras (also known as the False Corydoras or Aspidoras pauciradiatus) is the smallest member of the ""Shield Skin"" family, prized for its miniature size and distinctive dark horizontal stripes. These tiny, active bottom-dwellers require at least 10 to 15 gallons for a proper school, though 20 gallons is preferred to maintain stable water parameters for their sensitive ""armored"" skin. They are highly compatible with other micro-fish such as Celestial Pearl Danios, Ember Tetras, and small shrimp, as their peaceful nature and max size of only 3 cm make them non-threatening to tank mates. Essential care involves providing a soft sand substrate to protect their delicate barbels, maintaining clean, well-oxygenated water between 22–25°C, and offering a high-protein diet of crushed sinking pellets or baby brine shrimp.",23 - 28 degrees Celsius,"The Sixray Corydoras (also known as the False Corydoras or Aspidoras pauciradiatus) is the smallest member of the ""Shield Skin"" family, prized for its miniature size and distinctive dark horizontal stripes. These tiny, active bottom-dwellers require at least 10 to 15 gallons for a proper school, though 20 gallons is preferred to maintain stable water parameters for their sensitive ""armored"" skin. They are highly compatible with other micro-fish such as Celestial Pearl Danios, Ember Tetras, and small shrimp, as their peaceful nature and max size of only 3 cm make them non-threatening to tank mates. Essential care involves providing a soft sand substrate to protect their delicate barbels, maintaining clean, well-oxygenated water between 22?25?C, and offering a high-protein diet of crushed sinking pellets or baby brine shrimp.","6.0-7.2
",20 – 30 gallons,"3.0-4.0 cm / 1.2-1.6""","Highly social; compatible with almost any peaceful community fish, including Guppies and Platies.",https://en.wikipedia.org//wiki/Aspidoras_pauciradiatus
Britski's catfish,Brochis britskii,,"The Britski's Catfish (Scleromystax britskii), often confused with the ""Shield Skin"" Aspidoras due to its similar armored plating, is a strikingly patterned, larger relative of the common Corydoras. For proper care, they require a minimum of 20 to 30 gallons because they grow slightly larger than their cousins, reaching up to 6 cm, and are much more active swimmers that appreciate extra floor space. Compatible fish include other peaceful subtropical species like Rosy Barbs, White Cloud Mountain Minnows, or Zebra Danios, as they prefer slightly cooler water temperatures between 20–24°C. Key remarks for their maintenance include providing a soft sand substrate to protect their sensitive barbels, high oxygenation through surface agitation or powerheads, and a diet rich in high-quality sinking pellets and live foods to maintain their vibrant, dark-spotted ""shield"" markings.",20 - 24 degrees Celsius,"The Britski's Catfish (Scleromystax britskii), often confused with the ""Shield Skin"" Aspidoras due to its similar armored plating, is a strikingly patterned, larger relative of the common Corydoras. For proper care, they require a minimum of 20 to 30 gallons because they grow slightly larger than their cousins, reaching up to 6 cm, and are much more active swimmers that appreciate extra floor space. Compatible fish include other peaceful subtropical species like Rosy Barbs, White Cloud Mountain Minnows, or Zebra Danios, as they prefer slightly cooler water temperatures between 20?24?C. Key remarks for their maintenance include providing a soft sand substrate to protect their sensitive barbels, high oxygenation through surface agitation or powerheads, and a diet rich in high-quality sinking pellets and live foods to maintain their vibrant, dark-spotted ""shield"" markings.","6.5-7.2
",30 – 40 gallons,"6.0-8.0 cm / 2.4-3.1""",Very active and safe for community tanks with robust plants; compatible with other bottom dwellers.,https://en.wikipedia.org//wiki/Corydoras_britskii
Emerald catfish,Brochis splendens,https://upload.wikimedia.org//wikipedia/commons/8/8b/Brochis_splendens_im_Aquarium.jpg,"The Emerald Catfish is a robust, deep-bodied relative of the Corydoras, easily distinguished by its brilliant metallic green or iridescent bronze sheen. For proper care, these peaceful bottom-dwellers require a minimum of 30 gallons to accommodate their larger size and active ""rooting"" behavior. They are highly compatible with a wide range of community fish such as Tetras, Rainbowfish, and Rasboras, though they should be kept in schools of at least six to prevent stress. Key remarks for their maintenance include providing a soft sand substrate to protect their sensitive barbels from infection and ensuring a diet rich in high-quality sinking pellets and frozen treats like bloodworms to maintain their vibrant coloration and high energy levels.",21 - 28 degrees Celsius,"The Emerald Catfish is a robust, deep-bodied relative of the Corydoras, easily distinguished by its brilliant metallic green or iridescent bronze sheen. For proper care, these peaceful bottom-dwellers require a minimum of 30 gallons to accommodate their larger size and active ""rooting"" behavior. They are highly compatible with a wide range of community fish such as Tetras, Rainbowfish, and Rasboras, though they should be kept in schools of at least six to prevent stress. Key remarks for their maintenance include providing a soft sand substrate to protect their sensitive barbels from infection and ensuring a diet rich in high-quality sinking pellets and frozen treats like bloodworms to maintain their vibrant coloration and high energy levels.","5.8-8.0
",30 – 40 gallons,"4.5-6.0 cm / 1.8-2.4""",Compatible with larger community fish like Gouramis or Rainbowfish due to their larger adult size.,https://en.wikipedia.org//wiki/Brochis_splendens
Hognosed brochis,Brochis multiradiatus,https://upload.wikimedia.org//wikipedia/commons/2/2a/Fish_at_Louisville_Zoo_025.jpg,"The Hognosed Brochis is the largest member of its family, recognized by its exceptionally long, sloping snout and an oversized dorsal fin with 17 or more rays. Because they can reach a length of 10 to 12 cm, they require a minimum of 50 gallons with ample floor space for their active foraging. They are compatible with medium-sized, peaceful South American species like Angelfish and larger Tetras, provided they are kept in a social group of six or more. Important care instructions include the mandatory use of fine sand to accommodate their deep-sifting feeding habits and frequent 25–30% water changes to prevent the buildup of nitrates, which can be detrimental to their long-term health.",21 - 24 degrees Celsius,"The Hognosed Brochis is the largest member of its family, recognized by its exceptionally long, sloping snout and an oversized dorsal fin with 17 or more rays. Because they can reach a length of 10 to 12 cm, they require a minimum of 50 gallons with ample floor space for their active foraging. They are compatible with medium-sized, peaceful South American species like Angelfish and larger Tetras, provided they are kept in a social group of six or more. Important care instructions include the mandatory use of fine sand to accommodate their deep-sifting feeding habits and frequent 25?30% water changes to prevent the buildup of nitrates, which can be detrimental to their long-term health.","6.0-7.2
",30 – 55 gallons,"7.0-9.0 cm / 2.8-3.5""",Compatible with various Corydoras and Tetras; they prefer slightly deeper water than smaller Corys.,https://en.wikipedia.org//wiki/Brochis_multiradiatus
Cascarudo,Callichthys callichthys,https://upload.wikimedia.org//wikipedia/commons/9/9a/Callichthys_callichthys.JPG,"The Cascarudo is a highly resilient, armored catfish that is significantly larger and more active than typical Corydoras. For proper care, they require a minimum of 40 to 55 gallons to accommodate their size (up to 8 inches) and their habit of darting to the surface to breathe atmospheric air. They are compatible with medium-sized community fish like Silver Dollars, Cichlids, and larger Tetras, as their peaceful but boisterous nature can overwhelm smaller, delicate species. Key remarks for their maintenance include providing plenty of hiding spots like PVC pipes or large driftwood, as well as a varied diet of sinking pellets and meaty frozen foods, as they are opportunistic scavengers that help keep the tank floor clean.",18 - 28 degrees Celsius,"The Cascarudo is a highly resilient, armored catfish that is significantly larger and more active than typical Corydoras. For proper care, they require a minimum of 40 to 55 gallons to accommodate their size (up to 8 inches) and their habit of darting to the surface to breathe atmospheric air. They are compatible with medium-sized community fish like Silver Dollars, Cichlids, and larger Tetras, as their peaceful but boisterous nature can overwhelm smaller, delicate species. Key remarks for their maintenance include providing plenty of hiding spots like PVC pipes or large driftwood, as well as a varied diet of sinking pellets and meaty frozen foods, as they are opportunistic scavengers that help keep the tank floor clean.","5.8-8.3
",30 – 55 gallons,"7.0-9.0 cm / 2.8-3.5""",Compatible with South American Cichlids like Geophagus; they are very sturdy and peaceful.,
Adolfo's catfish/corydoras,Corydoras adolfoi,https://upload.wikimedia.org//wikipedia/commons/5/55/Corydoras_adolfoi.jpg,"The Adolfo's Corydoras is one of the most striking ""Shield Skin"" species, prized for its vibrant orange-gold patch on the head and a bold black stripe running through the eye and along the back. Their care involves a minimum of 20 gallons with pristine water conditions, as they are more sensitive to high nitrates than the common Bronze Cory. They are perfectly compatible with small, peaceful tank mates such as Dwarf Rasboras and Tetras, but they must be kept in groups of six or more to feel secure. Important remarks include using a soft sand substrate to protect their delicate barbels and providing a slightly acidic, peat-filtered environment to mimic their native blackwater habitats in the Rio Negro.",22 - 26 degrees Celsius,"The Adolfo's Corydoras is one of the most striking ""Shield Skin"" species, prized for its vibrant orange-gold patch on the head and a bold black stripe running through the eye and along the back. Their care involves a minimum of 20 gallons with pristine water conditions, as they are more sensitive to high nitrates than the common Bronze Cory. They are perfectly compatible with small, peaceful tank mates such as Dwarf Rasboras and Tetras, but they must be kept in groups of six or more to feel secure. Important remarks include using a soft sand substrate to protect their delicate barbels and providing a slightly acidic, peat-filtered environment to mimic their native blackwater habitats in the Rio Negro.","6.0-7.0
",20 – 30 gallons,"8.0-10.0 cm / 3.1-3.9""",Compatible with Discus and larger peaceful fish; they appreciate a higher oxygen flow.,https://en.wikipedia.org//wiki/Corydoras_adolfoi
Banded corydoras,Scleromystax barbatus,https://upload.wikimedia.org//wikipedia/commons/1/1f/Schleromystax_barbatus5015.jpg,"The Banded Corydoras is a larger, more elongated relative of the Corydoras family, often displaying beautiful dappled patterns and, in males, unique ""cheek bristles."" Proper care requires a minimum of 30 gallons and, crucially, cooler water temperatures (20–24°C) than most tropical fish, as they can suffer from heat stress in warmer setups. They are compatible with other subtropical species like White Cloud Mountain Minnows or Rosy Barbs, provided they have a school of their own kind. Key remarks for this species include ensuring high oxygen levels through surface agitation and using sand or fine gravel, as they are active bottom-sifters that appreciate plenty of open floor space.",20 - 28 degrees Celsius,"The Banded Corydoras is a larger, more elongated relative of the Corydoras family, often displaying beautiful dappled patterns and, in males, unique ""cheek bristles."" Proper care requires a minimum of 30 gallons and, crucially, cooler water temperatures (20?24?C) than most tropical fish, as they can suffer from heat stress in warmer setups. They are compatible with other subtropical species like White Cloud Mountain Minnows or Rosy Barbs, provided they have a school of their own kind. Key remarks for this species include ensuring high oxygen levels through surface agitation and using sand or fine gravel, as they are active bottom-sifters that appreciate plenty of open floor space.",6.0-8.0,30 – 40 gallons,"15.0-20.0 cm / 5.9-7.9""",Compatible with Nano fish like Chili Rasboras; they are smaller and more active than most Corys.,https://en.wikipedia.org//wiki/Scleromystax_barbatus
